"各位保研er大家好！这里是【保研星途】推免招生信息公益分享！
保研星途在2025年总计陪伴3500+学员（含各类全程班、单项班学员等），拿到保研名额的学员上岸率为99.2%，上岸学员中98.6%获得理想offer并实现院校档次跃迁提升。
欢迎联系我们，领取保研资料→",,,,,,
序号,学校 ,学院,通知名称,通知链接,DDL,
49,河海大学,外国语学院,2026年河海大学外国语学院全国优秀大学生校园开放日及有关安排的通知,https://wgyxy.hhu.edu.cn/2026/0615/c6684a327973/page.htm,2026年6月28日17:00,
50,南京邮电大学,马克思主义学院,2026年南京邮电大学马克思主义学院关于举办全国优秀本科生学院开放日的通知（线上）,https://marxism.njupt.edu.cn/2026/0616/c3719a304993/page.htm,2026年7月1日17:00,
51,兰州大学,艺术学院,2026年兰州大学艺术学院全国优秀大学生暑期夏令营通知,https://art.lzu.edu.cn/hdapp/bas/col_detail.php?id=2580,2026年7月3日12:00,
52,兰州大学,马克思主义学院,2026年兰州大学马克思主义学院优秀大学生夏令营活动通知,https://mp.weixin.qq.com/s/MRokCv_lbGCflkWu9UNuyg?scene=1&click_id=1653983731,2026年6月30日9:00,
53,兰州大学,文学院,2026年兰州大学文学院关于举办优秀大学生暑期夏令营的通知,https://mp.weixin.qq.com/s/qyOA3BVIdxJgw8lYOi-eyg?scene=1&click_id=1719128724,2026年6月28日18:00,
54,南京师范大学,金陵女子学院,2026年南京师范大学金陵女子学院社会学院会计学院“优秀本科生学院开放日”活动公告,https://jny.njnu.edu.cn/info/1038/17295.htm,2026年6月30日,
55,南京师范大学,新闻与传播学院,2026年南京师范大学新闻与传播学院优秀本科生“学院开放日”活动公告,https://xinchuan.njnu.edu.cn/info/1028/11181.htm,2026年6月30日,
56,南京师范大学,历史文博学院,2026年南京师范大学历史文博学院“学院开放日”（考古学、文物、博物馆专业）活动公告,https://lswb.njnu.edu.cn/info/1026/84902.htm,2026年6月30日,
57,北京工商大学,设计与艺术学院,2026年北京工商大学设计与艺术学院学术探索营,https://mp.weixin.qq.com/s/-4bUKJprlFhAwPPoe795Pw,2026年6月30日12:00,
58,河南大学,文学院,2026年河南大学文学院优秀研究生生源夏令营招募通知,https://mp.weixin.qq.com/s/fC8uJGrdBy3pfULRgVxkzQ,2026年7月1日,
59,兰州大学,历史文化学院,2026年兰州大学历史文化学院关于举办“民族学与人类学优秀大学生夏令营”的通知,https://history.lzu.edu.cn/index.php/portal/article/index/id/1414/cid/32.html,2026年7月10日,
60,成都理工大学,体育学院,2026年成都理工大学体育学院关于举办优秀大学生夏令营的通知,https://tyxy.cdut.edu.cn/info/1050/4161.htm,2026年7月5日17:00,
61,吉林大学,外国语言文化学院,2026年吉林大学外国语言文化学院“学术活动开放日”通知,https://sflc.jlu.edu.cn/info/1056/10234.htm,2026年7月5日,
62,东南大学,外国语学院,2026年东南大学外国语学院2027年接收推荐免试研究生报名通知,https://sfl.seu.edu.cn/2026/0707/c9828a575868/page.htm,2026-08-08,
63,东南大学,人文学院,2026年东南大学人文学院2027年接收推荐免试研究生报名通知,https://rwxy.seu.edu.cn/2026/0708/c12625a576145/page.htm,2026-08-08,
64,东南大学,体育系,2026年东南大学体育系2027年接收推荐免试研究生报名通知,https://tyx.seu.edu.cn/2026/0709/c2192a576282/page.htm,2026-08-30,
65,上海财经大学,外国语学院,2026年上海财经大学外国语学院2027年接收优秀应届本科毕业生免试攻读研究生预报名的通知,https://sfs.sufe.edu.cn/13/c2/c3940a267202/page.htm,2026-08-20,
66,上海财经大学,新闻与社会高等研究院,2026年上海财经大学新闻与社会高等研究院2027年接收优秀应届本科毕业生免试攻读研究生预报名的通知,https://mp.weixin.qq.com/s/EVIal-zA-ePjTLQdWvQcKg,2026-08-20,
67,上海财经大学,马克思主义学院,2026年上海财经大学马克思主义学院2027年接收推荐免试研究生预报名的通知,https://mp.weixin.qq.com/s/3wkZXFIbnh-e4nRbS-R31Q,2026-08-20,
68,上海财经大学,人文学院,2026年上海财经大学人文学院2027年接收优秀应届本科毕业生免试攻读研究生预报名的通知,https://mp.weixin.qq.com/s/kjXDo8HgdC7iobA8xgpPIA,2026-08-20,
69,上海财经大学,国际文化交流学院,2026年上海财经大学国际文化交流学院 2027年接收推荐免试研究生预报名的通知,https://mp.weixin.qq.com/s/wiSvqq_uD4nAJ0BHAl04mQ,2026-08-20,
70,东南大学,马克思主义学院,2026年东南大学马克思主义学院2027年接收推荐免试研究生报名通知,https://marxism.seu.edu.cn/2026/0707/c23336a575912/page.htm,2026-08-13,
71,复旦大学,历史学系,2026年复旦大学历史学系（含文史研究院）2027级推免研究生报名通知,https://history.fudan.edu.cn/info/1404/20941.htm,2026-08-10,
72,山东大学,体育学院,2026年山东大学体育学院关于举办全国优秀大学生暑期夏令营活动的通知,https://www.tyb.sdu.edu.cn/info/1153/3876.htm,2026-07-09,
73,中国人民大学,马克思主义学院,2026年中国人民大学马克思主义学院2027年推免生接收工作报名通知,https://marx.ruc.edu.cn/sy/tzgg/1bef53c8dd0f4409924067df04ab1e49.htm,2026-07-09,
74,西北工业大学,外国语学院,2026年西北工业大学外国语学院暑期校园开放日活动方案,https://wgyxy.nwpu.edu.cn/info/1035/10788.htm,2026-07-08,
75,中国人民大学,中共党史党建学院,2026年中国人民大学中共党史党建学院2027年推免生接收工作报名通知,http://dsdj.ruc.edu.cn/tzgg/4c0911b1f36748bf844e75e5b9556783.htm,2026-07-08,
76,北京语言大学,语言科学与资源学院,2026年北京语言大学语言科学与资源学院举办全国优秀大学生夏令营的通知,https://mp.weixin.qq.com/s/239LLncm2oFFDbcauq6ylw,2026-07-08,
77,厦门大学,外文学院,2026年厦门大学外文学院全国外语专业优秀大学生夏令营活动报名指南,https://cflc.xmu.edu.cn/info/1249/34174.htm,2026-07-07,
78,广东外语外贸大学,日语语言文化学院,2026年广东外语外贸大学日语语言文化学院优秀大学生线上开放日活动简章,https://ryxy.gdufs.edu.cn/info/1016/4779.htm,2026-07-07,
79,中国人民大学,历史学院,2026年中国人民大学历史学院2027年推免生接收工作报名通知,http://lsxy.ruc.edu.cn/rcpy/zsxx/c06bf44dbe184a01b9014b8781fe7fca.htm,2026-07-07,
80,深圳大学,心理学院,2027年深圳大学心理学院暑期学校(2027)招生简章,https://mp.weixin.qq.com/s/4-erMYjfYVI2w9vqwZVs9Q,2026-07-06,
81,中国人民大学,新闻学院,2026年中国人民大学新闻学院2027年推免生接收工作报名通知,http://jcr.ruc.edu.cn/zw/zspx/zsxx/sss/90ef19f311384ad2b665190c7745ed64.htm,2026-07-06,
