"各位保研er大家好！这里是【保研星途】推免招生信息公益分享！
保研星途在2025年总计陪伴3500+学员（含各类全程班、单项班学员等），拿到保研名额的学员上岸率为99.2%，上岸学员中98.6%获得理想offer并实现院校档次跃迁提升。
欢迎联系我们，领取保研资料→",,,,,,
序号,学校 ,学院,通知名称,通知链接,DDL,
84,浙江大学,数学科学学院,2026年浙江大学数学科学学院全国优秀大学生交流营报名通知,https://mp.weixin.qq.com/s/yncP4ZGyCy0NEwvRNnPwKQ?scene=1&click_id=20,2026年5月20日,
85,浙江大学,数据科学研究中心,2026年浙江大学数据科学研究中心全国优秀大学生交流营（数学方向）报名通知,https://mp.weixin.qq.com/s/tI6DvdBtTM-hiTzbwwxVAA?scene=1&click_id=23,2026年5月21日23:59,
86,浙江大学,医学院,2026年浙江大学医学院基础医学院优秀大学生暑期夏令营通知,https://bms.zju.edu.cn/2026/0506/c85156a3158495/page.htm,2026年6月3日,
87,中国科学技术大学,地球和空间科学学院,2026年中国科学技术大学地球和空间科学学院地球化学与行星科学营报名通知,https://ess.ustc.edu.cn/2026/0425/c41218a735817/page.htm,2026年5月10日,
88,中国科学技术大学,地球和空间科学学院,2026年中国科学技术大学地球和空间科学学院资源与环境专业第一届科学营报名通知,https://ess.ustc.edu.cn/2026/0430/c41218a736626/page.htm,2026年5月20日,
89,中国科学技术大学,环境科学与工程系,中国科大环境科学与工程系第一届环境交叉科学营报名通知,https://ese.ustc.edu.cn/2026/0430/c26730a736583/page.htm,2026年6月20日,
90,中国科学技术大学,生命科学与医学部,2026年中国科学技术大学生命科学与医学部-生物医学工程学院第一届“探微知生，融医汇工”科学营,https://sz.ustc.edu.cn/xwgg_show/2424.html,2026年5月22日,
91,中国科学技术大学,生物医学工程学院,中国科学技术大学生物医学工程学院（中国科学院苏州医工所）2026年生物医学工程科学营报名通知,https://sibet.cas.cn/yjsjy2020/zsxx_169599/202605/t20260506_8196232.html,2026年5月14日,
92,中国科学院,工业人工智能研究所,2026年中国科学院工业人工智能研究所首届“智造未来”暑期优秀大学生夏令营报名通知,https://iaii.cas.cn/tzgg/202604/t20260429_8194657.html,2026年6月13日,
93,中国科学院,长春光机所,2026年中国科学院长春光机所“溯光明理”夏令营邀请函,https://mp.weixin.qq.com/s/CN-4u5YTKRMVPKT19jPWhQ?scene=1,2026年6月20日,
94,中国科学院,上海微系统与信息技术研究所,2026年中国科学院上海微系统与信息技术研究所全国优秀大学生暑期学术夏令营报名通知,https://mp.weixin.qq.com/s/XVBUxZpBDBts0bekezDDCQ?scene=1&click_id=17,2026年6月20日,
95,中国科学院,上海技术物理研究所,2026年中国科学院上海技术物理研究所“红外筑梦”优秀大学生夏令营报名通知,https://sitp.cas.cn/yjs/zsxx/ssszs/202605/t20260501_8195486.html,2026年6月20日,
96,中国科学院,武汉病毒研究所,2026年中国科学院武汉病毒研究所大学生夏令营招募通知,https://whiov.cas.cn/yjsjy/zsxxyjs/xny/202604/t20260428_8194092.html,2026年6月15日,
97,中国科学院,成都山地灾害与环境研究所,2026年中国科学院、水利部成都山地灾害与环境研究所山地科学优秀大学生夏令营招生通知,https://imde.cas.cn/yjsjy/zsdt/zsjz/202604/t20260430_8195112.html,2026年6月21日,
98,中国科学院,成都山地灾害与环境研究所,2026年中国科学院成都山地灾害与环境研究所“走近科研导师，筑梦山地科学”系列活动,https://imde.cas.cn/yjsjy/zsdt/zsjz/202604/t20260430_8195144.html,2026年6月21日,
99,中国科学院,成都山地灾害与环境研究所,2026年中国科学院、水利部成都山地灾害与环境研究所成都山地所科研实习申请,https://imde.cas.cn/yjsjy/zsdt/zsjz/202604/t20260430_8195103.html,2026年12月31日,
100,中国科学院,高能物理研究所,2026年中国科学院高能物理研究所全国大学生夏令营及暑期学校活动报名通知,https://www.ihep.cas.cn/edu/bks/xly/202604/t20260426_8191472.html,2026年6月20日,
101,中国科学院,华南植物园,2026年中国科学院华南植物园优秀大学生“华植风采”夏令营活动通知,https://www.scbg.ac.cn/yjs/kjxt/xly/202604/t20260427_8191909.html,2026年6月15日24:00,
102,中国科学院,北京纳米能源所,2026年中国科学院北京纳米能源所微纳前沿技术暑期学校“纳米发电机与压电电子学”专题招生简,http://www.binn.cas.cn/tzgg/tzgg/202604/t20260427_8191768.html,2026-04-27,
103,中国科学院,国家授时中心,2026年中国科学院国家授时中心 “时间之旅” 科学夏令营招募通知,https://mp.weixin.qq.com/s/e26tXCCF1CGt5Oih0Y0dHg?scene=1,2026-07-13,
104,中国科学院,理论物理研究所,2026年中国科学院理论物理研究所理论物理大学生夏令营报名通知,https://itp.cas.cn/yjs/zs/xly/202605/t20260506_8195749.html,2026年6月7日,
105,中国科学院,古脊椎动物与古人类研究所,2026年中国科学院古脊椎动物与古人类研究所分子古生物学实验室2026年夏令营本硕学员招募（第二轮）,https://mp.weixin.qq.com/s/Q6gEY-YEKB55IFFimv-ntQ?scene=1&click_id=5,2026年5月31日,
106,中国科学院大学,华大专项,2026年中国科学院大学华大专项推免夏令营即将启幕！,https://mp.weixin.qq.com/s/uUhaLHpSsRT0L9GI-q5hPQ?scene=1&click_id=36,暂无,
107,上海交通大学,李政道研究所,2026年上海交通大学李政道研究所(基础研究)李政道博士生项目开放日报名开启，梦想启航！,https://mp.weixin.qq.com/s/6cD85aVadK5BGyNr1gi8Sw,2026年5月9日,
108,南京大学,智能科学与技术学院,2026年南京大学智能科学与技术学院机器学习暑期学校（SMILES-2026）招募开启,https://mp.weixin.qq.com/s/s710lMDvJ3qnS9SJeCnFSg,2026年5月10日,
109,香港科技大学,计算机科学与工程系,2026年香港科技大学计算机科学与工程系2027年PhD提前招生,https://mp.weixin.qq.com/s/xkWSpvmaCwICeWx2R-qgSg?scene=1,2026年8月15日,
110,上海科技大学,生物医学工程学院,2026年上海科技大学生物医学工程学院大学生夏令营活动通知,https://mp.weixin.qq.com/s/rr-2324OCz8YKeK26bgE7A?scene=1&click_id=3,2026年6月30日,
111,上海科技大学,生命科学与技术学院,2026年上海科技大学生命科学与技术学院大学生夏令营、暑期班活动通知,https://slst.shanghaitech.edu.cn/2026/0506/c319a1121574/page.htm,2026年6月18日,
112,清华大学,物理系,2026年清华大学物理系 “清物百年”本科生科研开放日活动通知,https://www.phys.tsinghua.edu.cn/info/1290/6760.htm,2026年5月31日17:00,
113,清华大学,生命科学学院,2026年清华大学生命科学、基础医学与药学大学生学术交流周通知,https://mp.weixin.qq.com/s/gEDhVcIMCwhThuUK_nIqCg,2026年6月9日16：00,
114,北京大学,科维理天文与天体物理研究所,2026年北京大学“行星形成”研究生暑期学校及讨论班通知,https://mp.weixin.qq.com/s/O-poF4IkthCU5aa6tvUIPQ?scene=1&click_id=3,2026年5月15日,
115,浙江大学,医学院,2026年浙江大学医学院基础医学院优秀大学生暑期夏令营通知,https://bms.zju.edu.cn/2026/0506/c85156a3158495/page.htm,2026年6月3日,
116,浙江大学,良渚实验室,2026年浙江大学良渚实验室优秀大学生夏令营报名开启！,https://mp.weixin.qq.com/s/MSaqjxTciVOp57BNa0CJqw?scene=1&click_id=3,2026年6月2日24:00,
117,南京大学,计算机学院,2026年南京大学LAMDA招收2027年秋季入学研究生说明,https://www.lamda.nju.edu.cn/recruit-2027/recruit-2027.html,2026年7月31日,
118,南京大学,物理学院,2026年南京大学物理学院举办全国优秀大三学生开放日活动的通知,https://mp.weixin.qq.com/s/_-zitXQw4LDwx1AO_9FAXw?scene=1&click_id=12,2026-05-07,
119,中山大学,中山医学院,2026年中山大学中山医学院基础医学“成长伙伴”暑期学校报名通知,https://mp.weixin.qq.com/s/hwCZAtM9nY8uUtC7HyiiOQ,2026年6月22日,
120,同济大学,中意工程创新学院,2026年同济大学中意工程创新学院2027年硕士研究生招生通知,https://yz.tongji.edu.cn/info/1010/4172.htm,2026-05-07,
121,中国海洋大学,方宗熙海洋生物进化与发育研究中心,2026年中国海洋大学方宗熙海洋生物进化与发育研究中心“海洋生物进化与发育”暑期学校报名啦！,https://mp.weixin.qq.com/s/n9scZkLYrv9qm3Uob52ZAQ?scene=1&click_id=1,2026年6月15日,
122,中国科学技术大学,地球和空间科学学院,2026年中国科学技术大学地球和空间科学学院资源与环境专业第一届科学营报名通知,https://ess.ustc.edu.cn/2026/0430/c41218a736626/page.htm,2026年5月20日,
123,中国科学技术大学,生命科学与医学部,2026年中国科学技术大学生命科学与医学部-生物医学工程学院第一届“探微知生，融医汇工”科学营,https://sz.ustc.edu.cn/xwgg_show/2424.html,2026年5月22日,
124,中国科学技术大学,稀土学院,2026年中国科学技术大学稀土学院（中国科学院赣江创新研究院）稀土科学营报名通知,https://mp.weixin.qq.com/s/7j8mhV4hwWQ0EeDlDUlB6A,2025年6月30日,
125,中国科学技术大学,纳米科学技术学院,2026年中国科学技术大学纳米科学技术学院第一届“纳米英才”科学营暨“纳界仿生”科创营报名通知,https://mp.weixin.qq.com/s/nB3uy-Eu6FU9Io2kAST3VQ,2026年5月28日,
126,中国科学院,生物医学工程学院,2026年中国科学院生物医学工程学院（中国科学院苏州医工所）生物医学工程科学营报名通知,https://sibet.cas.cn/yjsjy2020/zsxx_169599/202605/t20260506_8196232.html,2026年5月14日,
127,中国科学院,上海光学精密机械研究所,2026年中国科学院上海光学精密机械研究所研究所开放日来啦！,https://mp.weixin.qq.com/s/sXTsrmHR8zqzxv7Aj_gTuQ,2026年5月14日,
128,中国科学院,地质与地球物理研究所,2026年中国科学院地质与地球物理研究所“第十三届地球与行星科学大学生夏令营”暨“中国科学院大学第四期行星科学暑期学校”通知,https://igg.cas.cn/jyyd/jy_upcoming/202605/t20260506_8195734.html,2026年6月11日8:00,
129,中国科学院,广州地球化学研究所,2026年中国科学院广州地球化学研究所“资源环境与宜居地球”大学生夏令营活动通知,https://gig.cas.cn/yjsjy/tzgg/202605/t20260506_8196300.html,2026年6月10日,
130,中国科学院,新疆天文台,2026年中国科学院新疆天文台“情系苍穹”大学生夏令营营员招募公告,http://xao.ac.cn/xwdt/tzgg/202605/t20260508_8197478.html,2026年6月22日,
